,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
460,"frozenset({'oldpeak_Mild', 'chol_High', 'cp_asymptomatic'})",frozenset({'sex_Male'}),0.37735849056603776,0.9339622641509434,0.36792452830188677,0.9749999999999999,1.0439393939393937,1.0,0.015485938056247706,2.6415094339622494,0.0675990675990673,0.38999999999999996,0.6214285714285693,0.6844696969696968
150,"frozenset({'restecg_normal', 'fbs_False'})",frozenset({'sex_Male'}),0.37735849056603776,0.9339622641509434,0.36792452830188677,0.9749999999999999,1.0439393939393937,1.0,0.015485938056247706,2.6415094339622494,0.0675990675990673,0.38999999999999996,0.6214285714285693,0.6844696969696968
17,frozenset({'trestbps_Normal'}),frozenset({'sex_Male'}),0.3490566037735849,0.9339622641509434,0.33962264150943394,0.972972972972973,1.0417690417690417,1.0,0.013616945532217872,2.4433962264150986,0.06159420289855074,0.36,0.5907335907335914,0.6683046683046683
198,"frozenset({'restecg_normal', 'thalch_Normal'})",frozenset({'sex_Male'}),0.3113207547169811,0.9339622641509434,0.3018867924528302,0.9696969696969697,1.0382614018977656,1.0,0.011124955500178002,2.1792452830188696,0.05351027397260276,0.32,0.5411255411255415,0.6464646464646464
252,"frozenset({'age_>60', 'thalch_Normal'})",frozenset({'sex_Male'}),0.3113207547169811,0.9339622641509434,0.3018867924528302,0.9696969696969697,1.0382614018977656,1.0,0.011124955500178002,2.1792452830188696,0.05351027397260276,0.32,0.5411255411255415,0.6464646464646464
174,"frozenset({'trestbps_Normal', 'fbs_False'})",frozenset({'sex_Male'}),0.3113207547169811,0.9339622641509434,0.3018867924528302,0.9696969696969697,1.0382614018977656,1.0,0.011124955500178002,2.1792452830188696,0.05351027397260276,0.32,0.5411255411255415,0.6464646464646464
186,"frozenset({'oldpeak_Mild', 'fbs_False'})",frozenset({'sex_Male'}),0.5377358490566038,0.9339622641509434,0.5188679245283019,0.9649122807017544,1.0331384015594542,1.0,0.016642933428266282,1.882075471698113,0.0693877551020408,0.5445544554455445,0.4686716791979949,0.760233918128655
156,"frozenset({'fbs_False', 'exang_True'})",frozenset({'sex_Male'}),0.5188679245283019,0.9339622641509434,0.5,0.9636363636363636,1.0317722681359045,1.0,0.015396938412246375,1.8160377358490556,0.06400295967443591,0.5247524752475248,0.44935064935064906,0.7494949494949494
180,"frozenset({'fbs_False', 'thalch_Normal'})",frozenset({'sex_Male'}),0.5094339622641509,0.9339622641509434,0.49056603773584906,0.962962962962963,1.0310512532734755,1.0,0.014773940904236393,1.7830188679245307,0.06139053254437874,0.5148514851485149,0.4391534391534399,0.7441077441077442
282,"frozenset({'oldpeak_Mild', 'thalch_Normal'})",frozenset({'sex_Male'}),0.5094339622641509,0.9339622641509434,0.49056603773584906,0.962962962962963,1.0310512532734755,1.0,0.014773940904236393,1.7830188679245307,0.06139053254437874,0.5148514851485149,0.4391534391534399,0.7441077441077442
270,"frozenset({'oldpeak_Mild', 'chol_High'})",frozenset({'sex_Male'}),0.4811320754716981,0.9339622641509434,0.46226415094339623,0.9607843137254902,1.0287185581303229,1.0,0.012904948380206449,1.6839622641509442,0.05380333951762511,0.4851485148514852,0.4061624649859947,0.7278669043374926
5,frozenset({'restecg_normal'}),frozenset({'sex_Male'}),0.4716981132075472,0.9339622641509434,0.4528301886792453,0.96,1.0278787878787878,1.0,0.012281950872196523,1.6509433962264133,0.05133928571428576,0.4752475247524752,0.39428571428571363,0.7224242424242424
21,frozenset({'thalch_Normal'}),frozenset({'sex_Male'}),0.6698113207547169,0.9339622641509434,0.6415094339622641,0.9577464788732395,1.0254659268743775,1.0,0.01593093627625486,1.562893081761008,0.07521008403361328,0.6666666666666667,0.3601609657947693,0.8223075828709632
489,"frozenset({'thalch_Normal', 'fbs_False', 'exang_True'})",frozenset({'sex_Male'}),0.42452830188679247,0.9339622641509434,0.4056603773584906,0.9555555555555556,1.0231200897867565,1.0,0.009166963332146671,1.4858490566037748,0.03926801372474266,0.42574257425742573,0.32698412698412754,0.694949494949495
391,"frozenset({'fbs_False', 'cp_asymptomatic', 'exang_True'})",frozenset({'sex_Male'}),0.41509433962264153,0.9339622641509434,0.39622641509433965,0.9545454545454546,1.022038567493113,1.0,0.00854396582413669,1.4528301886792463,0.036866359447004546,0.4158415841584159,0.3116883116883121,0.6893939393939394
405,"frozenset({'thalch_Normal', 'fbs_False', 'cp_asymptomatic'})",frozenset({'sex_Male'}),0.4056603773584906,0.9339622641509434,0.3867924528301887,0.9534883720930233,1.0209067418369744,1.0,0.007920968316126709,1.4198113207547176,0.03445605884630263,0.405940594059406,0.29568106312292386,0.6838148931172188
419,"frozenset({'oldpeak_Mild', 'fbs_False', 'cp_asymptomatic'})",frozenset({'sex_Male'}),0.39622641509433965,0.9339622641509434,0.37735849056603776,0.9523809523809524,1.0197210197210198,1.0,0.007297970808116783,1.38679245283019,0.03203125000000007,0.39603960396039606,0.27891156462585104,0.6782106782106783
517,"frozenset({'oldpeak_Mild', 'fbs_False', 'thalch_Normal'})",frozenset({'sex_Male'}),0.39622641509433965,0.9339622641509434,0.37735849056603776,0.9523809523809524,1.0197210197210198,1.0,0.007297970808116783,1.38679245283019,0.03203125000000007,0.39603960396039606,0.27891156462585104,0.6782106782106783
