,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
17,frozenset({'trestbps_Normal'}),frozenset({'sex_Male'}),0.39165009940357853,0.9025844930417495,0.36779324055666,0.9390862944162436,1.0404414231087458,1.0,0.014295934136730304,1.5992379058979442,0.06389330506977563,0.3969957081545064,0.3747021651300108,0.6732876406001923
160,"frozenset({'trestbps_Normal', 'fbs_False'})",frozenset({'sex_Male'}),0.34393638170974156,0.9025844930417495,0.3220675944333996,0.9364161849710982,1.0374831300450715,1.0,0.011635949709298876,1.5320802457979394,0.05506921062476617,0.34838709677419355,0.3472926742951515,0.6466221894018487
12,frozenset({'chol_Borderline'}),frozenset({'sex_Male'}),0.3399602385685885,0.9025844930417495,0.31610337972166996,0.9298245614035087,1.0301800757400108,1.0,0.009260540138888329,1.3881709741550678,0.044385087519890835,0.3412017167381974,0.27962764052989525,0.6400224128603447
667,"frozenset({'fbs_False', 'age_40-60', 'thalch_Normal'})",frozenset({'sex_Male'}),0.3499005964214712,0.9025844930417495,0.3240556660039761,0.9261363636363635,1.02609381257509,1.0,0.008240813567896743,1.3188560942040053,0.03911746496313367,0.3490364025695931,0.2417671614100177,0.6425836003203844
723,"frozenset({'oldpeak_Mild', 'age_40-60', 'thalch_Normal'})",frozenset({'sex_Male'}),0.34393638170974156,0.9025844930417495,0.31809145129224653,0.9248554913294798,1.0246746963408113,1.0,0.007659806568145799,1.2963755925982565,0.03670454545454547,0.34261241970021417,0.22861861507608824,0.6386391994092333
471,"frozenset({'fbs_False', 'age_40-60', 'cp_asymptomatic'})",frozenset({'sex_Male'}),0.3956262425447316,0.9025844930417495,0.3658051689860835,0.9246231155778895,1.024417240386957,1.0,0.008719057424834697,1.292379058979457,0.039437929061784935,0.39232409381663114,0.22623320685057968,0.6649547295951121
583,"frozenset({'oldpeak_Mild', 'age_40-60', 'cp_asymptomatic'})",frozenset({'sex_Male'}),0.39363817097415504,0.9025844930417495,0.36381709741550694,0.9242424242424243,1.023995461220131,1.0,0.00852538842491768,1.285884691848908,0.03864552539639876,0.39019189765458423,0.22232529375386606,0.6636630623414764
485,"frozenset({'thalch_Normal', 'fbs_False', 'cp_asymptomatic'})",frozenset({'sex_Male'}),0.43538767395626243,0.9025844930417495,0.40159045725646125,0.9223744292237444,1.0219258544042806,1.0,0.008616294282021597,1.2549409425798166,0.038000278901129586,0.42887473460721864,0.2031497530519065,0.683654174964295
808,"frozenset({'fbs_False', 'exang_True', 'cp_asymptomatic', 'thalch_Normal'})",frozenset({'sex_Male'}),0.3320079522862823,0.9025844930417495,0.3061630218687873,0.9221556886227545,1.0216835052362236,1.0,0.006497792568643801,1.2514145893867574,0.03177179962894247,0.3297644539614561,0.20090431382133764,0.6306813685404522
232,"frozenset({'age_40-60', 'thalch_Normal'})",frozenset({'sex_Male'}),0.43141153081510936,0.9025844930417495,0.3976143141153082,0.9216589861751152,1.0211331939341035,1.0,0.008228956282187616,1.2434802947023744,0.036398601398601516,0.42462845010615713,0.19580551114455025,0.6810938102681744
21,frozenset({'thalch_Normal'}),frozenset({'sex_Male'}),0.679920477137177,0.9025844930417495,0.6262425447316103,0.9210526315789473,1.0204613957801993,1.0,0.01255686556604707,1.2339297548045063,0.06264418811002669,0.6548856548856549,0.18958109559613315,0.8074426153489451
569,"frozenset({'thalch_Normal', 'age_40-60', 'cp_asymptomatic'})",frozenset({'sex_Male'}),0.3518886679920477,0.9025844930417495,0.3240556660039761,0.9209039548022598,1.02029667239105,1.0,0.006446410997237251,1.2316103379721666,0.03069366555007715,0.34829059829059833,0.1880548829701369,0.6399673959033325
124,"frozenset({'thalch_Normal', 'cp_asymptomatic'})",frozenset({'sex_Male'}),0.5447316103379721,0.9025844930417495,0.5009940357852882,0.9197080291970803,1.018971671114827,1.0,0.009327731424573826,1.21326585938912,0.04089554307894918,0.5294117647058824,0.17577834053329366,0.7373870542461172
166,"frozenset({'fbs_False', 'thalch_Normal'})",frozenset({'sex_Male'}),0.5407554671968191,0.9025844930417495,0.4970178926441352,0.9191176470588235,1.0183175693184763,1.0,0.008940393424739845,1.2044099042110967,0.03916883116883123,0.5252100840336135,0.16971788715486166,0.7348892200051826
148,"frozenset({'fbs_False', 'age_40-60'})",frozenset({'sex_Male'}),0.5129224652087475,0.9025844930417495,0.4711729622266402,0.9186046511627908,1.017749206023973,1.0,0.008217098996478434,1.196819085487079,0.03580470162748664,0.49894736842105275,0.1644518272425259,0.7203155414404263
112,"frozenset({'age_40-60', 'cp_asymptomatic'})",frozenset({'sex_Male'}),0.4870775347912525,0.9025844930417495,0.44731610337972166,0.9183673469387755,1.0174862896700532,1.0,0.007687473568133929,1.1933399602385693,0.033505598621877644,0.47468354430379744,0.16201582673885923,0.7069810302975816
639,"frozenset({'thalch_Normal', 'fbs_False', 'exang_True'})",frozenset({'sex_Male'}),0.3856858846918489,0.9025844930417495,0.3538767395626243,0.9175257731958764,1.016553885280894,1.0,0.005762640854673207,1.1811630218687885,0.026508126977201073,0.3787234042553192,0.15337681464338404,0.654798128888687
184,"frozenset({'restecg_normal', 'age_40-60'})",frozenset({'sex_Male'}),0.35785288270377735,0.9025844930417495,0.32803180914512925,0.9166666666666667,1.0156020558002938,1.0,0.005039346426411739,1.1689860834990073,0.0239234449760767,0.35181236673773997,0.14455782312925267,0.6400513950073422
